"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\api\aMapApi.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\api\markerApi.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 5, 46
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\api\modelApi.ts", "TypeScript", 0, 145, 0, 0, 0, 0, 15, 160
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\api\userApi.ts", "TypeScript", 0, 132, 0, 0, 0, 0, 11, 143
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ARPrompt.tsx", "TypeScript JSX", 0, 0, 146, 0, 0, 0, 3, 149
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\AbstractCard.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\FlexBox.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\MainContainer.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\PromptCard.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\UserAvatar.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\ARCanvas.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 3, 9, 78
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\ARMarker.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 1, 8, 82
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\ARProvider.tsx", "TypeScript JSX", 0, 0, 123, 0, 0, 5, 27, 155
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\ar.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 1, 24, 146
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\index.d.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 2, 4
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\ar\types.ts", "TypeScript", 0, 41, 0, 0, 0, 28, 3, 72
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\menuItems.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\three\AREnvironment.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\three\ARPreviewModel.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\three\ModelControls.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\three\ModelEnvironment.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 1, 3, 39
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\three\ModelFloat.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\components\three\ModelLights.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 3, 26
